movies	recommendation
"Jurassic Park (1993)
First Kid (1996)
101 Dalmatians (1996)
Homeward Bound: The Incredible Journey (1993)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Independence Day (a.k.a. ID4) (1996)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Liar Liar (1997)
Anastasia (1997)
Murder at 1600 (1997)
Conspiracy Theory (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Clockwork Orange, A (1971)
Postino, Il (1994)
Chasing Amy (1997)
Piano, The (1993)"	"Terminator, The (1984)
Star Wars: Episode V - The Empire Strikes Back (1980)
Forrest Gump (1994)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Toy Story (1995)
 Pretty Woman (1990)"	"Jurassic Park (1993)
Pulp Fiction (1994)
Independence Day (a.k.a. ID4) (1996)
Back to the Future (1985)
"
"Hoop Dreams (1994)
One Flew Over the Cuckoo's Nest (1975)
Snow White and the Seven Dwarfs (1937)
Taxi Driver (1976)"	"Lord of the Rings: The Return of the King, The (2003)
Forrest Gump (1994)
Seven (a.k.a. Se7en) (1995)
Lord of the Rings: The Two Towers, The (2002)
"
"Raising Arizona (1987)
Apocalypse Now (1979)
Annie Hall (1977)
Secrets & Lies (1996)"	"Reservoir Dogs (1992)
Full Metal Jacket (1987)
Goodfellas (1990)
Fargo (1996)
"
"Some Like It Hot (1959)
Cop Land (1997)
This Is Spinal Tap (1984)
Raging Bull (1980)"	"Fargo (1996)
Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
"
"Titanic (1997)
Rosewood (1997)
Soul Food (1997)
Eve's Bayou (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Forrest Gump (1994)
Lord of the Rings: The Return of the King, The (2003)
Lord of the Rings: The Fellowship of the Ring, The (2001)
"
"Toy Story (1995)
Star Wars (1977)
Godfather, The (1972)
Willy Wonka and the Chocolate Factory (1971)"	"Jurassic Park (1993)
Godfather: Part II, The (1974)
Star Wars: Episode IV - A New Hope (1977)
Back to the Future (1985)
"
"Toy Story (1995)
Mission: Impossible (1996)
Truth About Cats & Dogs, The (1996)
Broken Arrow (1996)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"2001: A Space Odyssey (1968)
Leaving Las Vegas (1995)
Clerks (1994)
Sex, Lies, and Videotape (1989)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Blade Runner (1982)
Matrix, The (1999)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Gabbeh (1996)
Pillow Book, The (1995)
Boot, Das (1981)
Grosse Pointe Blank (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Toy Story (1995)
 Return of the Pink Panther, The (1974)"	"Jurassic Park (1993)
Pulp Fiction (1994)
Independence Day (a.k.a. ID4) (1996)
Back to the Future (1985)
"
"Rosewood (1997)
 Money Talks (1997)"	"Freshman, The (1990)
Bamboozled (2000)
Proof (2005)
Star Trek III: The Search for Spock (1984)
"
"Nightmare on Elm Street, A (1984)
Interview with the Vampire (1994)
Bram Stoker's Dracula (1992)
Psycho (1960)"	"Rear Window (1954)
Fargo (1996)
Godfather, The (1972)
Shining, The (1980)
"
"Man of No Importance, A (1994)
 Grease (1978)"	"Bridget Jones: The Edge of Reason (2004)
Winter's Bone (2010)
Firewalker (1986)
Time Out (L'emploi du temps) (2001)
"
"Dead Man Walking (1995)
Lone Star (1996)
In & Out (1997)
English Patient, The (1996)"	"Shawshank Redemption, The (1994)
Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
"
"Schindler's List (1993)
Sling Blade (1996)
Forrest Gump (1994)
Great Escape, The (1963)"	"Lord of the Rings: The Fellowship of the Ring, The (2001)
Star Wars: Episode VI - Return of the Jedi (1983)
Kill Bill: Vol. 2 (2004)
Lord of the Rings: The Two Towers, The (2002)
"
"Toy Story (1995)
Crying Game, The (1992)
Gandhi (1982)
Mrs. Doubtfire (1993)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Philadelphia Story, The (1940)
Like Water For Chocolate (Como agua para chocolate) (1992)
Everyone Says I Love You (1996)
Muriel's Wedding (1994)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Godfather, The (1972)
Sound of Music, The (1965)
Birds, The (1963)
Princess Bride, The (1987)"	"Lord of the Rings: The Return of the King, The (2003)
Star Wars: Episode V - The Empire Strikes Back (1980)
Godfather: Part II, The (1974)
Star Wars: Episode IV - A New Hope (1977)
"
"Reservoir Dogs (1992)
To Be or Not to Be (1942)
Once Upon a Time in the West (1969)
Paths of Glory (1957)"	"Pulp Fiction (1994)
Usual Suspects, The (1995)
Star Wars: Episode V - The Empire Strikes Back (1980)
Seven (a.k.a. Se7en) (1995)
"
"Toy Story (1995)
 Time to Kill, A (1996)"	"Jurassic Park (1993)
Pulp Fiction (1994)
Independence Day (a.k.a. ID4) (1996)
Back to the Future (1985)
"
"Scream (1996)
Silence of the Lambs, The (1991)
Bram Stoker's Dracula (1992)
Star Wars (1977)"	"Pulp Fiction (1994)
Lord of the Rings: The Fellowship of the Ring, The (2001)
Lord of the Rings: The Return of the King, The (2003)
American History X (1998)
"
"Godfather: Part II, The (1974)
 Seven (Se7en) (1995)"	"Lord of the Rings: The Fellowship of the Ring, The (2001)
Godfather, The (1972)
Star Wars: Episode IV - A New Hope (1977)
Lord of the Rings: The Return of the King, The (2003)
"
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Raise the Red Lantern (1991)
Roman Holiday (1953)
Casablanca (1942)"	"Godfather: Part II, The (1974)
Silence of the Lambs, The (1991)
Star Wars: Episode V - The Empire Strikes Back (1980)
Rear Window (1954)
"
"Chinatown (1974)
 Raiders of the Lost Ark (1981)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"One Flew Over the Cuckoo's Nest (1975)
Deer Hunter, The (1978)
Hoop Dreams (1994)
Dances with Wolves (1990)"	"Lord of the Rings: The Return of the King, The (2003)
Forrest Gump (1994)
Seven (a.k.a. Se7en) (1995)
Lord of the Rings: The Two Towers, The (2002)
"
"Ulee's Gold (1997)
Ice Storm, The (1997)
L.A. Confidential (1997)
Cop Land (1997)"	"Reservoir Dogs (1992)
Star Wars: Episode IV - A New Hope (1977)
Fargo (1996)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Wag the Dog (1997)
 Paradise Lost: The Child Murders at Robin Hood Hills (1996)
 Jackie Brown (1997)"	"Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
Forrest Gump (1994)
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
"
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)
Hurricane Streets (1998)
Rock, The (1996)
Dangerous Beauty (1998)"	"Star Wars: Episode VI - Return of the Jedi (1983)
Star Wars: Episode IV - A New Hope (1977)
Men in Black (a.k.a. MIB) (1997)
Star Wars: Episode V - The Empire Strikes Back (1980)
"
"Young Frankenstein (1974)
 Casablanca (1942)"	"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Star Wars: Episode IV - A New Hope (1977)
Lord of the Rings: The Two Towers, The (2002)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Schindler's List (1993)
Princess Bride, The (1987)
Pulp Fiction (1994)
Leaving Las Vegas (1995)"	"Lord of the Rings: The Two Towers, The (2002)
Kill Bill: Vol. 1 (2003)
Seven (a.k.a. Se7en) (1995)
Fight Club (1999)
"
"Starship Troopers (1997)
 Contact (1997)"	"Gladiator (2000)
Star Wars: Episode IV - A New Hope (1977)
Matrix, The (1999)
Lord of the Rings: The Two Towers, The (2002)
"
"Apollo 13 (1995)
 Cat on a Hot Tin Roof (1958)"	"True Lies (1994)
Crimson Tide (1995)
Fugitive, The (1993)
Speed (1994)
"
"Schindler's List (1993)
Babe (1995)
Good Will Hunting (1997)
American President, The (1995)"	"Star Wars: Episode V - The Empire Strikes Back (1980)
Forrest Gump (1994)
Godfather, The (1972)
Memento (2000)
"
"Fargo (1996)
 Cool Hand Luke (1967)"	"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
Pulp Fiction (1994)
Star Wars: Episode V - The Empire Strikes Back (1980)
Star Wars: Episode VI - Return of the Jedi (1983)
"
"Fear (1996)
 Career Girls (1997)"	"The Huntsman Winter's War (2016)
Perfect Score, The (2004)
Ugetsu (Ugetsu monogatari) (1953)
Harold and Maude (1971)
"
